Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
3,Alessia Zecchini (ITA),2.0,2.0,,00:00,65,65 m,RED,0.0,Dqother,COPA DELPHINUS SOLOAPNEA 2019,Depth Competition,2019-05-08,other,2019-05-08,Alessia Zecchini,ITA,5,22,6,1
24,Alessia Zecchini (ITA),2.0,3.0,,00:00,119,119 m,RED,0.0,Dqsp,AIDA Caribbean Cup 2022,Depth Competition,2022-05-18,other,2022-05-18,Alessia Zecchini,ITA,5,29,15,0
16,Alessia Zecchini (ITA),2.0,3.0,,00:00,119,119 m,RED,0.0,Dqbo-uw,AIDA Caribbean Cup 2022,Depth Competition,2022-05-20,other,2022-05-20,Alessia Zecchini,ITA,5,30,16,0
4,Alison Crawford (GBR),2.0,3.0,,00:00,54,54 m,RED,0.0,DQBO,Little Blue Hole Competition,Mixed Competition,2013-08-24,other,2013-08-24,Alison Crawford,GBR,8,3,2,1
124,Amanda Sumner (USA),2.0,3.0,,00:00,40,40 m,RED,0.0,DQBO,Caribbean Cup 2014,Depth Competition,2014-05-25,other,2014-05-25,Amanda Sumner,USA,5,1,1,1
10,Amanda Sumner (USA),2.0,3.0,,00:00,67,0 m,RED,0.0,DNS,Nirvana Oceanquest Competition,Depth Competition,2016-06-08,other,2016-06-08,Amanda Sumner,USA,6,29,18,0
1,Amber Bourke (AUS),2.0,1.0,,00:00,73,73 m,RED,0.0,DQBO,CNF World Record Attempt,Worldrecord attempt,2018-03-26,World Championship,2018-03-26,Amber Bourke,AUS,3,22,8,2
1,Amber Bourke (AUS),2.0,1.0,,00:00,73,55 m,RED,0.0,DQPULL,CNF World Record Attempt,Worldrecord attempt,2018-03-28,World Championship,2018-03-28,Amber Bourke,AUS,3,23,9,2
295,Amelia De Los Rios (USA),2.0,3.0,,00:00,35,35 m,RED,35.0,DIS,World Championship 2012,World Championship,2012-09-09,World Championship,2012-09-09,Amelia De Los Rios,USA,9,1,1,1
14,Amelia De Los Rios (USA),2.0,2.0,1.0,11:40,60,60 m,RED,0.0,Dqsp,AIDA Asian Freediving Cup 2023,Depth Competition,2023-06-14,other,2023-06-14,Amelia De Los Rios,USA,6,14,9,1
11,Amelia De Los Rios (USA),2.0,2.0,1.0,10:50,63,63 m,RED,0,Dqsp,AIDA Panglao Depth Championship - Prelude,Depth Competition,2023-07-08,Panglao,2023-07-08,Amelia De Los Rios,USA,7,17,12,1
17,Anastasia Postnikova (RUS),2.0,1.0,1.0,09:50,37,31 m,RED,0.0,"No tag,rp<ap,dqpull",Depth World Championship,Depth Competition,2021-09-30,World Championship,2021-09-30,Anastasia Postnikova,RUS,9,6,2,2
2,Anastasiya Kobrin (RUS),2.0,2.0,1.0,11:10,33,33 m,RED,0.0,Dqairways,Cherekel Challenge AIDA,Depth Competition,2021-06-12,other,2021-06-12,Anastasiya Kobrin,RUS,6,1,1,1
13,Andrea Melileo (CHE),2.0,3.0,,00:00,47,-2 m,RED,0.0,DQSP,Swiss Depth Championship 2010,Depth Competition,2010-08-21,other,2010-08-21,Andrea Melileo,CHE,8,1,1,1
