Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
10,Darja Tjioe (NLD),2.0,3.0,,00:00,50,47 m,RED,0.0,Pull,Sabang International Freediving Competition 2018,Depth Competition,2018-11-04,other,2018-11-04,Darja Tjioe,NLD,11,3,2,1
48,Deedee Flores. (USA),2.0,3.0,,00:00,41,41 m,RED,0.0,DQOTHER,Caribbean Cup 2013,Depth Competition,2013-05-20,other,2013-05-20,Deedee Flores.,USA,5,5,4,1
223,Dena Parsa (DNK),2.0,1.0,,00:00,43,14 m,RED,0.0,DQSP,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Dena Parsa,DNK,9,1,1,2
51,Dena Parsa (DNK),2.0,3.0,,00:00,67,67 m,RED,0.0,DQBO,2015 AIDA Depth World Championships Pre competition ,Depth Competition,2015-09-05,World Championship,2015-09-05,Dena Parsa,DNK,9,10,6,1
12,Diana Diana Garcia (ESP),2.0,1.0,1.0,09:55,31,0 m,RED,0.0,Dqbo,Apnea Bali Mini Comp,Depth Competition,2018-03-29,other,2018-03-29,Diana Diana Garcia,ESP,3,1,1,2
42,Divine Start (PHL),2.0,3.0,,00:00,30,30 m,RED,0.0,DQSP,Freedive Panglao Depth Challenge 2015,Depth Competition,2015-05-02,Panglao,2015-05-02,Divine Start,PHL,5,2,2,1
26,Ekaterina Lesyuchevskaya (ISR),2.0,2.0,1.0,15:16,39,3 m,RED,0.0,"Rpap,no tag,dqsp",AIDA Freediving World Cup May 2023,Depth Competition,2023-05-18,World Championship,2023-05-18,Ekaterina Lesyuchevskaya,ISR,5,2,2,1
22,Elena Bakhtina (RUS),2.0,3.0,,00:00,20,20 m,RED,0.0,DQSP,FDD Russian Open,Depth Competition,2012-05-08,other,2012-05-08,Elena Bakhtina,RUS,5,1,1,1
44,Elena Samokhvalova (RUS),2.0,3.0,,00:00,35,35 m,RED,0.0,DQBO,Russian National ,Depth Competition,2014-05-15,other,2014-05-15,Elena Samokhvalova,RUS,5,4,3,1
25,Eleni Akritopoulou (GRC),2.0,3.0,,00:00,28,28 m,RED,0.0,Dqother,Authentic Big Blue 2019,Depth Competition,2019-09-25,other,2019-09-25,Eleni Akritopoulou,GRC,9,1,1,1
31,Elisabeth Hummel (DEU),2.0,3.0,,00:00,45,45 m,RED,0.0,DQBO,Schweizer und Deutsche Meisterschaft im Tieftauchen 3023,Depth Competition,2012-08-18,other,2012-08-18,Elisabeth Hummel,DEU,8,5,3,1
20,Elisabeth Sveen Kristoffersen (NOR),2.0,3.0,,00:00,70,-2 m,RED,0.0,DQOTHER,(in progress) Bizzy Blue Hole 2009,Competition,2009-04-21,other,2009-04-21,Elisabeth Sveen Kristoffersen,NOR,4,18,14,1
4,Elisabeth Sveen Kristoffersen (NOR),2.0,1.0,,00:00,0,-2 m,RED,0.0,DQSP,1st Hemmoor No-Fins only,Competition,2009-05-23,other,2009-05-23,Elisabeth Sveen Kristoffersen,NOR,5,19,3,2
8,Emily Shaw (AUS),2.0,1.0,,00:00,41,41 m,RED,0.0,BO,Australian Depth National Freediving Championship 2016,Depth Competition,2016-11-07,other,2016-11-07,Emily Shaw,AUS,11,4,2,2
16,Emily Shaw (AUS),2.0,3.0,,00:00,56,0 m,RED,0.0,DNS,Australian Depth National Freediving Championship 2016,Depth Competition,2016-11-14,other,2016-11-14,Emily Shaw,AUS,11,5,2,1
49,Emmelie Alm (SWE),2.0,1.0,,00:00,51,51 m,RED,0.0,DQBO,FreedivingWorld Competition,Depth Competition,2015-05-25,World Championship,2015-05-25,Emmelie Alm,SWE,5,7,3,2
4,Enchante Gallardo (USA),2.0,2.0,1.0,12:30,89,89 m,RED,0.0,Dqother,AIDA Freediving World CUP - OCTOBER 2022,Depth Competition,2022-10-28,World Championship,2022-10-28,Enchante Gallardo,USA,10,25,13,0
5,Enchante Gallardo (USA),2.0,2.0,,00:00,95,92 m,RED,0,"No tag,under ap,dqtouch",AIDA IDA ASIA Depth Challenge,Depth Competition,2023-05-17,other,2023-05-17,Enchante Gallardo,USA,5,34,20,0
10,Ericka Carrera (ECU),2.0,2.0,,00:00,42,37 m,RED,0,"No tag,under ap,dqother",Deep Dominica Freediving Competition AIDA,Depth Competition,2023-06-21,other,2023-06-21,Ericka Carrera,ECU,6,1,1,1
30,Erin Magee (USA),2.0,3.0,,00:00,63,-2 m,RED,0.0,DQSP,PFI Deja Blue 2010,Mixed Competition,2010-05-11,other,2010-05-11,Erin Magee,USA,5,6,6,1
43,Erin Magee (USA),2.0,3.0,,00:00,83,83 m,RED,0.0,DQBO,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Erin Magee,USA,5,13,13,1
1,Esmeralda Estrella Navarro Holm (MEX),2.0,2.0,,00:00,31,-2 m,RED,0.0,DQSP,Spring Cortez Cup 2010,Competition,2010-05-15,other,2010-05-15,Esmeralda Estrella Navarro Holm,MEX,5,1,1,1
184,Esmeralda Estrella Navarro Holm (MEX),2.0,1.0,,00:00,46,46 m,RED,0.0,DQBO,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Esmeralda Estrella Navarro Holm,MEX,9,7,4,2
81,Esmeralda Estrella Navarro Holm (MEX),2.0,2.0,,00:00,52,52 m,RED,0.0,DQOTHER,Suunto Vertical Blue,Depth Competition,2014-11-27,VB,2014-11-27,Esmeralda Estrella Navarro Holm,MEX,11,15,4,1
17,Esmeralda Estrella Navarro Holm (MEX),2.0,3.0,,00:00,74,0 m,RED,0.0,DNS,Vertical Blue 2016,Mixed Competition,2016-04-26,VB,2016-04-26,Esmeralda Estrella Navarro Holm,MEX,4,27,10,0
16,Esmeralda Estrella Navarro Holm (MEX),2.0,3.0,,00:00,74,8 m,RED,0.0,DQSP,Vertical Blue 2016,Mixed Competition,2016-04-28,VB,2016-04-28,Esmeralda Estrella Navarro Holm,MEX,4,28,11,0
20,Esmeralda Estrella Navarro Holm (MEX),2.0,1.0,,00:00,57,57 m,RED,0.0,DQBO,AIDA World Depth Championship 2017,World Championship,2017-08-28,World Championship,2017-08-28,Esmeralda Estrella Navarro Holm,MEX,8,42,15,0
14,Esther Van Neste (NLD),2.0,3.0,,00:00,30,30 m,RED,0.0,DQBO,Andaman Freediving challenge,Mixed Competition,2015-03-05,other,2015-03-05,Esther Van Neste,NLD,3,2,1,1
15,Esther Van Neste (NLD),2.0,2.0,,00:00,30,30 m,RED,0.0,DQOTHER,Andaman Freediving challenge,Mixed Competition,2015-03-05,other,2015-03-05,Esther Van Neste,NLD,3,3,1,1
5,Eunae Jeoung (KOR),2.0,3.0,,00:00,50,43 m,RED,0.0,"No tag,under ap,dqsp",10.3 JEJU DEEP CHALLANGE AIDA,Depth Competition,2022-10-03,other,2022-10-03,Eunae Jeoung,KOR,10,4,2,1
18,Eungyoung Kwon (KOR),2.0,3.0,,00:00,25,25 m,RED,0.0,Dqsp,AIDA JEJU DEEP CHALLENGE,Depth Competition,2021-10-03,other,2021-10-03,Eungyoung Kwon,KOR,10,2,2,1
124,Eunhye Jang (KOR),2.0,2.0,,00:00,40,40 m,RED,0.0,Dqbo-surface,4th Freediving 815 AIDA Depth Competition,Depth Competition,2020-08-15,other,2020-08-15,Eunhye Jang,KOR,8,4,3,1
15,Eunhye Jang (KOR),2.0,2.0,,00:00,30,30 m,RED,0.0,Dqsp,2nd 2022 AIDA DFS&WHALES Recreational Competition,Depth Competition,2022-06-18,other,2022-06-18,Eunhye Jang,KOR,6,5,4,1
40,Eunhye Jang (KOR),2.0,1.0,,00:00,20,19 m,RED,0.0,"No tag,under ap,dqbo-uw",2nd 2022 AIDA DFS&WHALES Recreational Competition,Depth Competition,2022-06-18,other,2022-06-18,Eunhye Jang,KOR,6,6,1,2
24,Eunjoo Ko (KOR),2.0,2.0,,00:00,42,42 m,RED,0.0,Dqsp,Korea Cup  AIDA Depth Competition 2020,Depth Competition,2020-10-25,other,2020-10-25,Eunjoo Ko,KOR,10,2,2,1
14,Eunjung Park (KOR),2.0,1.0,1.0,10:40,40,5 m,RED,0.0,"No tag,rp<ap,dqother",5th Korea Cup 2021 AIDA Depth Competition,Depth Competition,2021-10-31,other,2021-10-31,Eunjung Park,KOR,10,8,3,2
66,Fanny Ehrenberg (SWE),2.0,1.0,,00:00,44,-2 m,RED,0.0,DQBO,Nordic Deep 2010,Depth Competition,2010-08-14,other,2010-08-14,Fanny Ehrenberg,SWE,8,7,2,2
75,Fanny Ehrenberg (SWE),2.0,1.0,,00:00,35,-2 m,RED,0.0,DQOTHER,Triple Depth 2011,Competition,2011-06-23,other,2011-06-23,Fanny Ehrenberg,SWE,6,11,3,2
76,Fanny Ehrenberg (SWE),2.0,2.0,,00:00,55,-2 m,RED,0.0,DQOTHER,Triple Depth 2011,Competition,2011-06-23,other,2011-06-23,Fanny Ehrenberg,SWE,6,12,6,1
215,Fanny Ehrenberg (SWE),2.0,3.0,,00:00,55,55 m,RED,0.0,DQSP,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Fanny Ehrenberg,SWE,9,13,4,1
1,Fatima Korok (HUN),2.0,3.0,,00:00,85,85 m,RED,0.0,Dqsp,AIDA FreedivingWorld Competition,Depth Competition,2020-11-24,World Championship,2020-11-24,Fatima Korok,HUN,11,13,5,1
9,Fatima Korok (HUN),2.0,1.0,,00:00,64,64 m,RED,0.0,Dqbo-uw,Depth World Championship,Depth Competition,2021-09-26,World Championship,2021-09-26,Fatima Korok,HUN,9,16,5,2
7,Fatima Korok (HUN),2.0,1.0,1.0,10:20,67,67 m,RED,0.0,"Dqbo-uw,dqpull",Depth World Championship,Depth Competition,2022-08-21,World Championship,2022-08-21,Fatima Korok,HUN,8,23,8,2
23,Fatima Siddiq (EGY),2.0,1.0,,00:00,30,30 m,RED,0.0,Dqbo-uw,AIDA Dahab Apnea October competition,Depth Competition,2020-10-20,other,2020-10-20,Fatima Siddiq,EGY,10,2,2,2
68,Flavia Eberhard (MEX),2.0,1.0,,00:00,40,-2 m,RED,0.0,DQBO,Triple Depth 2009,Depth Competition,2009-09-06,other,2009-09-06,Flavia Eberhard,MEX,9,9,3,2
91,Francesca Koe (USA),2.0,3.0,,00:00,34,-2 m,RED,0.0,DQBO,PFI Deja Blue 2010,Mixed Competition,2010-05-11,other,2010-05-11,Francesca Koe,USA,5,5,2,1
52,Francesca Koe (USA),2.0,3.0,,00:00,34,34 m,RED,0.0,DQOTHER,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Francesca Koe,USA,5,7,4,1
57,Francesca Koe (USA),2.0,3.0,,00:00,41,41 m,RED,0.0,DQBO,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Francesca Koe,USA,5,10,7,1
684,Francine Kreiss (FRA),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Francine Kreiss,FRA,9,3,3,1
686,Francine Kreiss (FRA),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Francine Kreiss,FRA,9,4,4,1
687,Francine Kreiss (FRA),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Francine Kreiss,FRA,9,5,5,1
689,Francine Kreiss (FRA),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Francine Kreiss,FRA,9,6,6,1
121,Frida Lemus (MEX),2.0,1.0,,00:00,48,31 m,RED,-18.0,DQOTHER,Caribbean Cup 2014,Depth Competition,2014-05-25,other,2014-05-25,Frida Lemus,MEX,5,7,7,2
2,Fumi Sonezaki (JPN),2.0,1.0,,00:00,41,41 m,RED,0.0,Dqbo-surface,Depth World Championship,Depth Competition,2021-09-26,World Championship,2021-09-26,Fumi Sonezaki,JPN,9,7,6,2
16,Fumi Sonezaki (JPN),2.0,1.0,1.0,11:28,41,41 m,RED,0.0,Dqbo-surface,Freedom Depth Games 2021 AIDA,Depth Competition,2021-10-10,other,2021-10-10,Fumi Sonezaki,JPN,10,9,7,2
30,Gaelle Chalies (FRA),2.0,3.0,,00:00,35,35 m,RED,0.0,RED (SP + EARLY START 20s),Nice Abyss Contest 2017,Depth Competition,2017-07-20,NAC,2017-07-20,Gaelle Chalies,FRA,7,1,1,1
4,Gal Shtokhamer (ISR),2.0,3.0,,00:00,48,44 m,RED,0.0,"No tag,rp<ap,dqother",AIDA Blue Element 2019,Depth Competition,2019-11-24,other,2019-11-24,Gal Shtokhamer,ISR,11,14,9,1
7,Genilyn Abanilla (PHL),2.0,1.0,1.0,00:40,37,32 m,RED,0.0,"No tag,rp<ap,dqother",AIDA SABANG INTERNATIONAL FREEDIVING COMPETITION 2019,Depth Competition,2019-11-07,other,2019-11-07,Genilyn Abanilla,PHL,11,8,1,2
67,Georgina Miller (GBR),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQOTHER,3rd Mediterranean Freediving Meeting,Depth Competition,2010-06-14,other,2010-06-14,Georgina Miller,GBR,6,42,28,0
4,Georgina Miller (GBR),2.0,3.0,,00:00,50,0 m,RED,0.0,DSN,Nice Abyss Contest 2018,Depth Competition,2018-06-23,NAC,2018-06-23,Georgina Miller,GBR,6,93,70,0
11,Haemi Yoo (KOR),2.0,1.0,,00:00,30,9 m,RED,0.0,"Early,no tag,rp<ap,dqsp",AIDA Korea Cup Depth Competition 2019,Depth Competition,2019-10-05,other,2019-10-05,Haemi Yoo,KOR,10,4,4,2
55,Hanako Hirose (JPN),2.0,3.0,,00:00,82,72 m,RED,-10.0,DQOTHER,Suunto Vertical Blue,Depth Competition,2014-11-27,VB,2014-11-27,Hanako Hirose,JPN,11,16,16,0
10,Hanako Hirose (JPN),2.0,3.0,,00:00,105,105 m,RED,0.0,DQ pull,Vertical Blue,Depth Competition,2018-07-21,VB,2018-07-21,Hanako Hirose,JPN,7,40,36,0
14,Hanako Hirose (JPN),2.0,3.0,,00:00,107,107 m,RED,0.0,DQBO,Vertical Blue,Depth Competition,2018-07-26,VB,2018-07-26,Hanako Hirose,JPN,7,42,38,0
4,Heejeong Park (KOR),2.0,2.0,1.0,09:30,68,68 m,RED,0.0,Dqbo-surface,AIDA PANGLAO DEPTH GAMES,Depth Competition,2022-09-10,Panglao,2022-09-10,Heejeong Park,KOR,9,3,3,1
28,Heidi Heidenreich (DEU),2.0,1.0,,00:00,35,-2 m,RED,0.0,DQBO,5th AIDA Individual World Championship 2009,World Championship,2009-12-03,World Championship,2009-12-03,Heidi Heidenreich,DEU,12,11,3,2
37,Helen Evi Holroyd (CYP),2.0,1.0,,00:00,12,12 m,RED,0.0,DQSP,AIDA CYPRUS Depth Games 2012,Depth Competition,2012-10-14,other,2012-10-14,Helen Evi Holroyd,CYP,10,3,1,2
8,Helena Bourdillon (GBR),2.0,2.0,,00:00,50,50 m,RED,-1.0,DQOTHER,RedCcup,Mixed Competition,2015-04-30,other,2015-04-30,Helena Bourdillon,GBR,4,5,1,1
1,Helena Bourdillon (GBR),2.0,3.0,,00:00,63,0 m,RED,0.0,-,Freedive Panglao June Minicompetition,Depth Competition,2016-06-22,Panglao,2016-06-22,Helena Bourdillon,GBR,6,11,5,1
15,Helena Bourdillon (GBR),2.0,3.0,,00:00,78,57 m,RED,0.0,"No tag,rp<ap,dqsp",AIDA Blue Element 2019,Depth Competition,2019-11-27,other,2019-11-27,Helena Bourdillon,GBR,11,26,11,0
23,Hui-Hsin Ho (TPE),2.0,1.0,1.0,18:20,32,32 m,RED,0.0,Dqsp,AIDA Taiwanese Cup 2021,Depth Competition,2021-03-25,other,2021-03-25,Hui-Hsin Ho,TPE,3,2,2,2
32,Hyemi (Mimi) Kim (KOR),2.0,1.0,,00:00,40,40 m,RED,0.0,DQBO,Red C cup (9th edition),Mixed Competition,2017-10-24,other,2017-10-24,Hyemi (Mimi) Kim,KOR,10,1,1,2
21,Hyemi (Mimi) Kim (KOR),2.0,1.0,,00:00,40,40 m,RED,0.0,DQBO,Red C cup (9th edition),Mixed Competition,2017-10-26,other,2017-10-26,Hyemi (Mimi) Kim,KOR,10,2,2,2
29,Hyemi (Mimi) Kim (KOR),2.0,1.0,1.0,16:30,48,48 m,RED,0.0,"Dqairways,dqpull",AIDA Freediving World CUP,Depth Competition,2021-11-15,World Championship,2021-11-15,Hyemi (Mimi) Kim,KOR,11,11,4,2
26,Hyemi (Mimi) Kim (KOR),2.0,1.0,1.0,15:00,48,48 m,RED,0.0,Dqbo-uw,AIDA Freediving World CUP,Depth Competition,2021-11-22,World Championship,2021-11-22,Hyemi (Mimi) Kim,KOR,11,15,5,2
11,Hyemin Kim (KOR),2.0,1.0,,00:00,40,40 m,RED,0.0,Pulling,Vertical Blue 2017,Depth Competition,2017-05-10,VB,2017-05-10,Hyemin Kim,KOR,5,14,5,2
16,Hyemin Kim (KOR),2.0,1.0,,00:00,46,46 m,RED,0.0,Dqbo,AIDA Freedive Panglao Japanese Cup 2019,Depth Competition,2019-09-08,Panglao,2019-09-08,Hyemin Kim,KOR,9,34,9,2
40,Hyemin Kim (KOR),2.0,3.0,1.0,11:50,65,65 m,RED,0.0,Dqbo-surface,5th Korea Cup 2021 AIDA Depth Competition,Depth Competition,2021-10-29,other,2021-10-29,Hyemin Kim,KOR,10,35,21,0
128,Hyojeong Kim (KOR),2.0,2.0,,00:00,20,20 m,RED,0.0,Dqsp,4th Freediving 815 AIDA Depth Competition,Depth Competition,2020-08-15,other,2020-08-15,Hyojeong Kim,KOR,8,1,1,1
2,Hyosin (Kay) Kim (KOR),2.0,3.0,,00:00,48,48 m,RED,0.0,DQ Pull,Asian Freediving Cup 2017,Depth Competition,2017-06-05,other,2017-06-05,Hyosin (Kay) Kim,KOR,6,3,3,1
644,Ilka Michaelis (DEU),2.0,3.0,,00:00,36,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Ilka Michaelis,DEU,9,4,2,1
646,Ilka Michaelis (DEU),2.0,3.0,,00:00,36,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Ilka Michaelis,DEU,9,5,3,1
647,Ilka Michaelis (DEU),2.0,3.0,,00:00,36,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Ilka Michaelis,DEU,9,6,4,1
648,Ilka Michaelis (DEU),2.0,3.0,,00:00,36,-2 m,RED,0.0,DQOTHER,AIDA Team World Championships 2008,World Championship,2008-09-03,World Championship,2008-09-03,Ilka Michaelis,DEU,9,7,5,1
25,Ilka Michaelis (DEU),2.0,2.0,,00:00,44,-2 m,RED,0.0,DQSP,(in progress) Bizzy Blue Hole 2009,Competition,2009-04-21,other,2009-04-21,Ilka Michaelis,DEU,4,10,3,1
48,Inge Verbruggen (BEL),2.0,3.0,,00:00,43,43 m,RED,0.0,DQSP,Nice Abyss Contest 2015,Depth Competition,2015-06-20,NAC,2015-06-20,Inge Verbruggen,BEL,6,3,1,1
15,Inge Verbruggen (BEL),2.0,2.0,,00:00,46,0 m,RED,0.0,DNS,Red C cup (6th edition),Mixed Competition,2016-11-05,other,2016-11-05,Inge Verbruggen,BEL,11,12,4,1
18,Ingela Karlsson (FIN),2.0,2.0,,00:00,37,-2 m,RED,0.0,DQSP,Triple Depth 2008,Depth Competition,2008-06-10,other,2008-06-10,Ingela Karlsson,FIN,6,9,3,1
17,Ingela Karlsson (FIN),2.0,3.0,,00:00,42,-2 m,RED,0.0,DQSP,(in progress) Bizzy Blue Hole 2009,Competition,2009-04-21,other,2009-04-21,Ingela Karlsson,FIN,4,11,4,1
10,Ingela Karlsson (FIN),2.0,3.0,,00:00,50,-2 m,RED,0.0,DQSP,Bizzy Blue Hole 2010,Competition,2010-04-29,other,2010-04-29,Ingela Karlsson,FIN,4,16,7,1
11,Ingela Karlsson (FIN),2.0,2.0,,00:00,42,-2 m,RED,0.0,DQSP,Bizzy Blue Hole 2010,Competition,2010-04-29,other,2010-04-29,Ingela Karlsson,FIN,4,17,6,1
17,Ingela Karlsson (FIN),2.0,3.0,,00:00,40,-2 m,RED,0.0,DQOTHER,Nordic Deep 2010,Depth Competition,2010-08-14,other,2010-08-14,Ingela Karlsson,FIN,8,20,9,1
2,Ingela Karlsson (FIN),2.0,3.0,,00:00,40,-2 m,RED,0.0,DQSP,FDI Going Deep,Depth Competition,2011-01-21,other,2011-01-21,Ingela Karlsson,FIN,1,21,10,1
71,Ingela Karlsson (FIN),2.0,3.0,,00:00,46,46 m,RED,0.0,DQSP,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Ingela Karlsson,FIN,9,22,11,1
5,Irena Vanova (CZE),2.0,3.0,1.0,14:20,77,77 m,RED,0.0,"Dqsp,dqairways",AIDA Freediving World CUP - AUGUST 2022,Depth Competition,2022-08-03,World Championship,2022-08-03,Irena Vanova,CZE,8,13,3,1
9,Irene Villaflor (PHL),2.0,3.0,1.0,10:26,45,45 m,RED,0.0,Dqcheck-in,AIDA Panglao Depth Championship 2022,Depth Competition,2022-06-25,Panglao,2022-06-25,Irene Villaflor,PHL,6,5,2,1
5,Irina Kapusta (RUS),2.0,3.0,,00:00,70,64 m,RED,63.0,Early turn,Russian Open National Championship,Competition,2016-05-18,other,2016-05-18,Irina Kapusta,RUS,5,3,2,1
18,Irina Kapusta (RUS),2.0,3.0,,00:00,70,64 m,RED,57.0,Early turn,Russian Open National Championship,Competition,2016-05-18,other,2016-05-18,Irina Kapusta,RUS,5,4,3,1
42,Irina Kocherova (RUS),2.0,3.0,,00:00,41,21 m,RED,-20.0,DQSP,Russian National ,Depth Competition,2014-05-15,other,2014-05-15,Irina Kocherova,RUS,5,2,2,1
15,Irina Kocherova (RUS),2.0,3.0,,00:00,60,60 m,RED,0.0,DQSP,Russian National Open,Depth Competition,2017-05-31,other,2017-05-31,Irina Kocherova,RUS,5,3,3,1
87,Irina Smolentseva (RUS),2.0,1.0,,00:00,47,47 m,RED,0.0,DQOTHER,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Irina Smolentseva,RUS,9,4,2,2
99,Irina Veverka(Karina) (RUS),2.0,3.0,,00:00,58,5 m,RED,-53.0,DQSP,World Championship 2012,World Championship,2012-09-09,World Championship,2012-09-09,Irina Veverka(Karina),RUS,9,12,6,1
1,Iru Balic (VEN),2.0,3.0,,00:00,52,-2 m,RED,0.0,DQSP,Campeonato Venezolano de Apnea 2006,Competition,2006-05-26,other,2006-05-26,Iru Balic,VEN,5,3,3,1
5,Iru Balic (VEN),2.0,1.0,,00:00,32,-2 m,RED,0.0,DQBO,Campeonato Nacional de Profundidad 2009,Depth Competition,2009-08-28,NAC,2009-08-28,Iru Balic,VEN,8,7,1,2
42,Iru Balic (VEN),2.0,2.0,,00:00,48,47 m,RED,0.0,DQSP,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Iru Balic,VEN,9,10,1,1
15,Iru Balic (VEN),2.0,1.0,,00:00,33,33 m,RED,0.0,DQSP,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Iru Balic,VEN,5,13,2,2
19,Iru Balic (VEN),2.0,1.0,,00:00,33,33 m,RED,0.0,DQBO,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Iru Balic,VEN,5,15,3,2
27,Isabel Sanchez Aran (ESP),2.0,1.0,1.0,14:06,54,54 m,RED,0.0,Dqpull,Vertical Blue 2022 AIDA,Depth Competition,2022-08-02,VB,2022-08-02,Isabel Sanchez Aran,ESP,8,10,1,2
1,Izabela Tarnowska (POL),2.0,2.0,1.0,09:00,24,24 m,RED,0.0,Dqother,AIDA Free2Dive Cyprus Depth Games,Depth Competition,2022-09-15,other,2022-09-15,Izabela Tarnowska,POL,9,2,2,1
31,Jacinta Colvin (AUS),2.0,1.0,,00:00,24,-2 m,RED,0.0,DQBO,Andaman AIDA Freediving Challenge 2010,Mixed Competition,2010-02-11,other,2010-02-11,Jacinta Colvin,AUS,2,3,1,2
9,Jamie Marais (ZAF),2.0,2.0,1.0,14:20,68,63 m,RED,0.0,"Rpap,no tag,dqsp,dqother",AIDA Freediving World CUP Mini Competition May 2022,Depth Competition,2022-05-28,World Championship,2022-05-28,Jamie Marais,ZAF,5,7,7,1
8,Jamie Marais (ZAF),2.0,2.0,1.0,13:30,72,55 m,RED,0.0,"No tag,under ap,dqsp,dqtouch",AIDA Freediving World CUP - OCTOBER 2022,Depth Competition,2022-10-29,World Championship,2022-10-29,Jamie Marais,ZAF,10,12,12,1
61,Jana Oujezdska (CZE),2.0,1.0,,00:00,35,-2 m,RED,0.0,DQBO,(in progress) Bizzy Blue Hole 2009,Competition,2009-04-21,other,2009-04-21,Jana Oujezdska,CZE,4,9,2,2
27,Jana Strain (CAN),2.0,3.0,,00:00,48,48 m,RED,0.0,DQOTHER,Canadian Freediving National Competition 2011,Mixed Competition,2011-08-06,other,2011-08-06,Jana Strain,CAN,8,17,8,1
11,Jarmila Slovenčíková (CZE),2.0,1.0,,00:00,62,-2 m,RED,0.0,DQBO,Dahab Mini Comp 2008,Depth Competition,2008-08-01,other,2008-08-01,Jarmila Slovenčíková,CZE,8,10,4,2
51,Jarmila Slovenčíková (CZE),2.0,1.0,,00:00,54,-2 m,RED,0.0,DQBO,5th AIDA Individual World Championship 2009,World Championship,2009-12-03,World Championship,2009-12-03,Jarmila Slovenčíková,CZE,12,21,7,2
61,Jarmila Slovenčíková (CZE),2.0,2.0,,00:00,80,80 m,RED,0.0,DQBO,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Jarmila Slovenčíková,CZE,9,31,7,0
7,Javiera Soto Palma (CHL),2.0,2.0,1.0,10:00,55,55 m,RED,0,Dqsp,AIDA Colombian Cup 2023,Depth Competition,2023-05-03,other,2023-05-03,Javiera Soto Palma,CHL,5,1,1,1
82,Jeanine Grasmeijer (NLD),2.0,1.0,,00:00,61,61 m,RED,0.0,DQBO,2015 AIDA Depth World Championships,World Championship,2015-09-11,World Championship,2015-09-11,Jeanine Grasmeijer,NLD,9,12,2,2
35,Jennifer Balfour (CAN),2.0,3.0,,00:00,45,45 m,RED,0.0,DQSP,Canadian Freediving National Competition 2011,Mixed Competition,2011-08-06,other,2011-08-06,Jennifer Balfour,CAN,8,8,4,1
4,Jennifer Wendland (DEU),2.0,1.0,,00:00,56,56 m,RED,0.0,DQBO,Russian National Open,Depth Competition,2017-05-30,other,2017-05-30,Jennifer Wendland,DEU,5,9,3,2
11,Jennifer Wendland (DEU),2.0,2.0,2.0,09:55,85,85 m,RED,0.0,Dqbo-surface,Depth World Championship,Depth Competition,2021-09-24,World Championship,2021-09-24,Jennifer Wendland,DEU,9,25,9,1
14,Jessea Wenjie Lu (CHN),2.0,1.0,,00:00,63,63 m,RED,0.0,DQBO,Vertical Blue 2016,Mixed Competition,2016-04-27,VB,2016-04-27,Jessea Wenjie Lu,CHN,4,9,4,2
6,Jessea Wenjie Lu (CHN),2.0,2.0,,00:00,93,93 m,RED,0.0,DQBO,Vertical Blue,Depth Competition,2018-07-16,VB,2018-07-16,Jessea Wenjie Lu,CHN,7,23,8,1
