Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
7,Ada Fong (TPE),2.0,2.0,,00:00,43,0 m,WHITE,43.0,-,Freediving NZ Depth Nationals 2019,Depth Competition,2019-03-15,other,2019-03-15,Ada Fong,TPE,3,1,1
230,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,48,48 m,WHITE,48.0,OK,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,1,1
231,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,42,42 m,WHITE,42.0,OK,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,2,1
232,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,51,51 m,WHITE,51.0,OK,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,3,2
233,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,55,55 m,WHITE,55.0,OK,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,4,3
234,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,25,25 m,RED,0.0,DQSP,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,5,1
235,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,35,35 m,WHITE,35.0,OK,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Adriana Buechner De Freitas Brandao,BRA,11,6,2
13,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,36,36 m,WHITE,36.0,OK,FREEDIVE DAHAB / BLUE IMMERSION June minicomp,Depth Competition,2013-06-23,other,2013-06-23,Adriana Buechner De Freitas Brandao,BRA,6,7,3
47,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,58,58 m,WHITE,58.0,OK,Deja Blue V,Mixed Competition,2014-05-11,other,2014-05-11,Adriana Buechner De Freitas Brandao,BRA,5,8,4
48,Adriana Buechner De Freitas Brandao (BRA),2.0,1.0,,00:00,35,35 m,WHITE,35.0,OK,Deja Blue V,Mixed Competition,2014-05-11,other,2014-05-11,Adriana Buechner De Freitas Brandao,BRA,5,9,4
51,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,45,45 m,WHITE,45.0,OK,Deja Blue V,Mixed Competition,2014-05-11,other,2014-05-11,Adriana Buechner De Freitas Brandao,BRA,5,10,2
52,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,61,61 m,WHITE,61.0,OK,Deja Blue V,Mixed Competition,2014-05-11,other,2014-05-11,Adriana Buechner De Freitas Brandao,BRA,5,11,5
30,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,45,45 m,WHITE,45.0,OK,Deja Blue VI,Mixed Competition,2015-05-11,other,2015-05-11,Adriana Buechner De Freitas Brandao,BRA,5,12,3
34,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,62,62 m,WHITE,62.0,OK,Deja Blue VI,Mixed Competition,2015-05-11,other,2015-05-11,Adriana Buechner De Freitas Brandao,BRA,5,13,6
13,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,54,54 m,WHITE,54.0,-,Deja Blue 7,Mixed Competition,2016-05-09,other,2016-05-09,Adriana Buechner De Freitas Brandao,BRA,5,14,4
6,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,65,65 m,WHITE,65.0,-,Deja Blue 7,Mixed Competition,2016-05-15,other,2016-05-15,Adriana Buechner De Freitas Brandao,BRA,5,15,7
20,Adriana Buechner De Freitas Brandao (BRA),2.0,2.0,,00:00,45,45 m,WHITE,45.0,-,Deja Blue 8,Mixed Competition,2017-05-14,other,2017-05-14,Adriana Buechner De Freitas Brandao,BRA,5,16,5
17,Adriana Buechner De Freitas Brandao (BRA),2.0,3.0,,00:00,50,50 m,WHITE,50.0,-,Deja Blue 8,Mixed Competition,2017-05-15,other,2017-05-15,Adriana Buechner De Freitas Brandao,BRA,5,17,8
